fund_id,fonds,veld,oud,nieuw
173,Kring McCain (De Nationale),deelnemers_actief,,585
175,Kring Roba (Hnp),deelnemers_totaal,,750
175,Kring Roba (Hnp),deelnemers_gepensioneerd,,159
175,Kring Roba (Hnp),deelnemers_slapers,,264
175,Kring Roba (Hnp),deelnemers_actief,,327
183,Pensioenkring 2 (Stap),deelnemers_totaal,8815,8735
183,Pensioenkring 2 (Stap),deelnemers_gepensioneerd,1619,1756
183,Pensioenkring 2 (Stap),deelnemers_slapers,6843,6636
183,Pensioenkring 2 (Stap),deelnemers_actief,353,343
185,Pensioenkring Astellas (Stap),deelnemers_totaal,,2106
185,Pensioenkring Astellas (Stap),deelnemers_gepensioneerd,,408
185,Pensioenkring Astellas (Stap),deelnemers_slapers,,1022
185,Pensioenkring Astellas (Stap),deelnemers_actief,,676
187,Pensioenkring CRH (Hnp),deelnemers_totaal,3067,12310
187,Pensioenkring CRH (Hnp),deelnemers_gepensioneerd,,2060
187,Pensioenkring CRH (Hnp),deelnemers_slapers,,9243
187,Pensioenkring CRH (Hnp),deelnemers_actief,,1007
189,Pensioenkring OWASE (Hnp),deelnemers_totaal,,4761
189,Pensioenkring OWASE (Hnp),deelnemers_gepensioneerd,,1808
189,Pensioenkring OWASE (Hnp),deelnemers_slapers,,1627
189,Pensioenkring OWASE (Hnp),deelnemers_actief,,1326
190,Pensioenkring PepsiCo (Hnp),deelnemers_totaal,,1789
190,Pensioenkring PepsiCo (Hnp),deelnemers_gepensioneerd,,479
190,Pensioenkring PepsiCo (Hnp),deelnemers_slapers,,844
190,Pensioenkring PepsiCo (Hnp),deelnemers_actief,,466
191,Pensioenkring Randstad (Hnp),deelnemers_totaal,1604,13355
191,Pensioenkring Randstad (Hnp),deelnemers_gepensioneerd,,1489
191,Pensioenkring Randstad (Hnp),deelnemers_slapers,,11751
192,Pensioenkring Sweco (Hnp),deelnemers_totaal,,7670
192,Pensioenkring Sweco (Hnp),deelnemers_gepensioneerd,,1904
192,Pensioenkring Sweco (Hnp),deelnemers_slapers,,3851
192,Pensioenkring Sweco (Hnp),deelnemers_actief,,1915
193,Kring Van Lanschot (HNPF),deelnemers_gepensioneerd,,1009
193,Kring Van Lanschot (HNPF),deelnemers_slapers,,3013
193,Kring Van Lanschot (HNPF),deelnemers_actief,,38
194,Pensioenkring Wolters Kluwer NL (Hnp),deelnemers_totaal,,7170
